Generation	DriveCarriersFreq
0	0.01
1	0.01854974704890388
2	0.02792956891317547
3	0.039615727443795185
4	0.06161280579885231
5	0.08438477843948723
6	0.11897590361445783
7	0.17064165252968766
8	0.23989974937343359
9	0.34023519951753944
10	0.4571906025754448
11	0.5903312981683515
12	0.7406884021399011
13	0.8618690654672664
14	0.9445108587368002
15	0.9864027194561088
16	0.998000199980002
17	0.9997001199520192
18	1.0
19	1.0
20	1.0
21	1.0
22	1.0
23	1.0
24	1.0
25	1.0
26	1.0
27	1.0
28	1.0
29	1.0
30	1.0
31	1.0
32	1.0
33	1.0
34	1.0
35	1.0
36	1.0
37	1.0
38	1.0
39	1.0
40	1.0
41	1.0
42	1.0
43	1.0
44	1.0
45	1.0
46	1.0
47	1.0
48	1.0
49	1.0
50	1.0
